# Source: Appendix D BOQ For MEI Pkg I-1.xlsx
# Sheet: Electrical  (Brown) 
"# Rows: 173, Cols: 16384"







No.,TAG NO.,"EQUIPMENT/
MATERIAL",DESCRIPTION,Material Supplied By,UNIT,Qty.,WBS,,,,"MANHOURS
A",,"LABOR COST
B",,"MATERIAL COST
C",,"TOOLS& CONSUMABLE
COST D",,"EQUIPMENT COST
E",,"DIRECT COST
F",,REMARK
,,JUNCTION BOX ,4 ENTRY M25 FOR 3X4mm2 CABLE,Contractor,ea,,,,20,,,,,,,,,,,,26.984126984127
,,JUNCTION BOX ,4 ENTRY M20 FOR 5X4mm2  CABLE,,ea,,,,,,,,,,,,,,,,0
EL-08,,,CONTROL SWITCH STATION,,,,,,,,,,,,,,,,,,0
EL-08-0002,,CONTROL SWITCH STATION,"EXPLOSION-PROOF MOTOR LOCAL CONTROL STATION, 230V AC,16A, 50HZ , OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""-IIB-T3"", IP65 , MATERIAL: CAST METAL, START, STOP &  EMERGENCY STOP BUTTON, WITH AMMETER,AND 1 TAG LABEL  ,WITH SUITABLE GLAND AND EARTH LUG",Contractor,set,,,,20,,,,,,,,,,,,2380.95238095238
,,Switch,"Space heater on/off swithc shall be Flameproof type, suitable for zone21/22,Ex tb IIIB, T 115°C, Tamb 54°C & zone1/2 Group IIB T3 , IP65,high impact type, flame retardant, ultraviolet resistance glass reinforced polyester outdoor. With 1 16A switch.",Contractor,set,,,,20,,,,,,,,,,,,79.3650793650794
EL-09,,,LIGHTING & SOCKET PANELS,,,,,,,,,,,,,,,,,,0
EL-09-0001,,LIGHTING & SOCKET PANELS,"NLP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""- IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS (NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",Contractor,set,,,,3,,,,,,,,,,,,22.2222222222222
EL-09-0002,,LIGHTING & SOCKET PANELS,"ELP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""-
IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 40A AND SUITABLE OUTGOINGS(NO OF OUTGOING FEEDERS ARE 15 NUMBER +RCCB 30mA, withstand 10kA.)",Contractor,set,,,,3,,,,,,,,,,,,22.2222222222222
EL-09-0003,,LIGHTING & SOCKET PANELS,"NSP  , 400V AC,3PH, 50HZ, OUTDOOR, HAZARDOUS AREA, Zone 2, ""EEx""d""- IIB-T3"", INCOMING CIRCUIT BREACKER MINIMUM 63A AND SUITABLE OUTGOINGS  (NO OF OUTGOING FEEDERS ARE 12 NUMBER +RCCB 300mA, withstand 10kA.)",Contractor,set,,,,2,,,,,,,,,,,,22.2222222222222
,,,,,,,,,,,,,,,,,,,,,0
EL-10,,,CABLE,,,,,,,,,,,,,,,,,,0
EL-10-0001,,CABLE,"6.35/11 kV (12) KV Stranded copper conductor (CU/XLPE/PVC/SWA/LS or AWA/PVC/LS), Screened Stranded copper conductor, Lead sheathed, 
XLPE insulation
Semiconducting material
PVC bedding
Multi-core cables : Still Wire armour
Single core cables : Aluminium Wire armour
The outer sheath over the armour shall be Extruded Red PVC complying with requirements of IEC 60502-2 (flame retardant)",,,,,,,,,,,,,,,,,,0
,,,3X 150mm2,,lm,,,,,,,,,,,,,,,,0
,,,1 X 240 mm2,,lm,,,,,,,,,,,,,,,,0
,,,1 X 630mm2,Contractor,lm,,,,,,,,,,,,,,,,0,,Cancel
,,,3 X 95mm2,,lm,,,,,,,,,,,,,,,,0
,,,3 X 240 mm2,,lm,,,,,,,,,,,,,,,,0
,,,3 X 185 mm2,,lm,,,,,,,,,,,,,,,,0
EL-10-0003,,CABLE,"600V CONTROL CABLE (CU/XLPE/PVC/SWA or AWA/PVC)
Insulation grade-service voltage : 600V/1000V
Stranded copper conductor
Extruded layer of PVC insulation
The bedding or inner covering shall be extruded layer of PVC or synthetic tape/s of manufacturer standard,
with the approximate thickness as specified in IEC 60502-1.
PVC inner sheath
The armour shall be galvanized round steel OT aluminum wire supplemented by a helix of galvanized steel tape to keep the armour wires tight. The thickness of the galvanized steel tape shall be 0.3 mm.
The outer sheath over the armour shall be Extruded Black PVC complying with requirements of IEC 60502-2 (flame retardant)",,,,,,,,,,,,,,,,,,0
,,,"5C ,2.5mm2",,lm,,,,,,,,,,,,,,,,0
,,,"7C ,2.5mm2",,lm,,,,,,,,,,,,,,,,0
