1005312 - Ruwais Sulphur Handling Terminal-1 Upgrade for Hail & Ghasha ,,,,,,,,,
EXHIBIT C  - INDEX,,,,,,,,,
Sr. No.,Unit,Discipline,Document Category,Document Number,Revision,Subject,Issue Status,Remarks,
125,00,INSTRUMENTATION,Data Sheet,DS-5312-J-054,0,DATA SHEET FOR FLOW TRANSMITTERS,IFT,,
126,00,INSTRUMENTATION,Data Sheet,DS-5312-J-061,0,DATA SHEET FOR F&G DETECTORS,IFT,,
127,00,INSTRUMENTATION,Data Sheet,DS-5312-J-062,0,DATA SHEET FOR ANALYZERS,IFT,,
128,00,INSTRUMENTATION,Data Sheet,DS-5312-J-063,0,DATA SHEET FOR SAFETY RELIEF DEVICES,IFT,,
129,00,INSTRUMENTATION,Material Requisition,MR-5312-00-IN-001,0,MATERIAL REQUISITION FOR NEW ESD & FGS SYSTEM,IFT,,
130,00,INSTRUMENTATION,Material Requisition,MR-5312-00-IN-002,0,MATERIAL REQUISITION FOR NEW DCS SYSTEM,IFT,,
131,00,INSTRUMENTATION,Procedure,PR-5312-00-IN-001,0,SPI IMPLEMENTATION PROCEDURE,IFT,,
132,00,INSTRUMENTATION,Report,RP-5312-00-IN-001,0,INSTRUMENT SITE VISIT REPORT,IFT,,
133,00,INSTRUMENTATION,Report,RP-5312-00-IN-002,0,ADEQUACY STUDY REPORT FOR DCS & ESD SYSTEM,IFT,,
134,00,INSTRUMENTATION,Report,RP-5312-00-IN-003,0,ADEQUACY STUDY REPORT FOR EXISTING FACP SYSTEM,IFT,,
135,00,INSTRUMENTATION,Philosophy Documents,RP-5312-00-IN-004,0,INSTRUMENT AND CONTROL PHILOSOPHY,IFT,,
136,00,INSTRUMENTATION,Scope of Works,RP-5312-00-IN-006,0,F&G SYSTEM ADEQUACY STUDY SOW,IFT,,
137,00,INSTRUMENTATION,Scope of Works,RP-5312-00-IN-007,0,DCS/ESD SYSTEM ADEQUACY STUDY SOW,IFT,,
138,00,INSTRUMENTATION,Report,RP-5312-00-IN-008,0,INSTRUMENT OBSOLESCENCE STUDY REPORT,IFT,,
139,00,INSTRUMENTATION,Report,RP-5312-00-IN-009,0,INSTRUMENT DEMOLITION SOW,IFT,,
140,00,INSTRUMENTATION,Scope of Works,RP-5312-00-IN-010,0,ESD AND F&G SUPPLY AND MODIFICATION SOW,IFT,,
141,00,INSTRUMENTATION,Scope of Works,RP-5312-00-IN-011,0,DCS SYSTEM SUPPLY AND MODIFICATION SOW,IFT,,
142,00,INSTRUMENTATION,Specification,SP-5312-00-IN-001,0,SPECIFICATION FOR HSSD,IFT,,
143,00,INSTRUMENTATION,Specification,SP-5312-00-IN-002,0,FACP SPECIFICATION,IFT,,
144,00,INSTRUMENTATION,Technical Bid Evaluation,TE-5312-00-IN-001,1,TECHNICAL BID EVALUATION FOR NEW ESD AND FGS SYSTEM,IFT,,
145,00,INSTRUMENTATION,Technical Bid Evaluation,TE-5312-00-IN-002,1,TECHNICAL BID EVALUATION FOR NEW DCS SYSTEM,IFT,,
,,,,,,MARINE,,,
146,00,MARINE,Specification,5312-ADD-SP-01-001,0,ADDENDUM TO AGES-SP-01-001 CONCRETE SUPPLY AND CONSTRUCTION SPECIFICATION,IFT,,
147,00,MARINE,Report,RP-5312-00-CI-009,0,SETTLEMENT ASSESSMENT ANALYSIS,IFT,,
148,00,MARINE,Report,RP-5312-00-ST-001,0,MARINE SITE SURVEY REPORT,IFT,,
149,00,MARINE,Report,RP-5312-00-ST-002,0,MARINE SITE SURVEY REPORT,IFT,,
150,00,MARINE,Specification,SP-5312-00-ST-003,0,SPECIFICATIONS - FENDERS,IFT,,
,,,,,,MATERIALS & CORROSION,,,
151,00,MATERIALS AND CORROSION,Philosophy Documents,RP-5312-00-MC-001,3,CORROSION CONTROL & MATERIALS SELECTION PHILOSOPHY,IFT,,
152,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-002,0,MATERIALS SELECTION REPORT AND SUMMARY TABLES,IFT,,
153,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-003,0,CATHODIC PROTECTION SYSTEM SITE SURVEY AND ADEQUACY REPORT,IFT,,
154,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-004,0,DESIGN OF CATHODIC PROTECTION SYSTEM FOR ONSHORE FACILITIES (TANK BOTTOM),IFT,,
155,00,MATERIALS AND CORROSION,Bill of Quantities,RP-5312-00-MC-005,0,CATHODIC PROTECTION BOQ,IFT,,
156,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-006,0,CORROSION RISK ASSESSMENT (CRAS) & MATERIALS & CORROSION AUDIT (MCA) REPORT,IFT,,
157,00,MATERIALS AND CORROSION,Scope of Works,RP-5312-00-MC-007,0,EPC SOW FOR CATHODIC PROTECTION SYSTEM DESIGN,IFT,,
158,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-008,0,DESIGN OF CATHODIC PROTECTION SYSTEM FOR MARINE FACILITIES ,IFT,,
159,00,MATERIALS AND CORROSION,Report,RP-5312-00-MC-009,0,CORROSION RISK ASSESSMENT (CRAS) & MATERIALS & CORROSION AUDIT (MCA) METHODOLOGY,IFT,,
,,,,,,MECHANICAL,,,
160,00,MECHANICAL,Specification,5312-ADD-2520-002,0,SPECIFICATION FOR SULPHUR STORAGE TANKS ADDENDUM TO DGS-2520-002 REV.3  ,IFT,,
161,00,MECHANICAL,Specification,5312-ADD-SP-06-002,0,SPECIFICATION FOR PRESSURE VESSELS ADDENDUM TO AGES-SP-06-002 REV.1 ,IFT,,
162,00,MECHANICAL,Design Basis,DB-5312-00-ME-001,0,MATERIALS HANDLING DESIGN BASIS - NEW AND MODIFIED EQUIPMENT,IFT,,
163,00,MECHANICAL,Design Basis,DB-5312-00-ME-002,0,DESIGN BASIS - STATIC EQUIPMENT,IFT,,
164,00,MECHANICAL,Design Basis,DB-5312-00-ME-004,0,DESIGN BASIS FOR ROTATING EQUIPMENT,IFT,,
165,00,MECHANICAL,Scope of Works,RP-5312-00-ME-001,1,ORIGINAL EQUIPMENT MANUFACTURER (OEM) SULPHUR GRANULATION EQUIPMENT CONDITION INSPECTIONS AND RECOMMENDATIONS SCOPE OF WORK ,IFT,,
166,00,MECHANICAL,Scope of Works,RP-5312-00-ME-002,1,ORIGINAL EQUIPMENT MANUFACTURER (OEM) BULK SOLID HANDLING EQUIPMENT CONDITION INSPECTIONS AND RECOMMENDATIONS SCOPE OF WORK,IFT,,
167,00,MECHANICAL,Report,RP-5312-00-ME-005,0,SITE VISIT REPORT - MECHANICAL,IFT,,
168,00,MECHANICAL,Scope of Works,RP-5312-00-ME-008,0,"SCOPE OF WORK FOR MODIFICATION IN EXISTING BULK MATERIAL HANDLING EQUIPMENT (BELT CONVEYOR, STACKER / RECLAIMER) ",IFT,,
,,,,,,PIPING,,,
169,00,PIPING,Specification,5312-ADD-1300-010,1,ADDENDUM TO DGS 1300-010 PIPING SYSTEMS (PIPING CLASSES),IFT,,
170,00,PIPING,Specification,5312-ADD-1300-015,0,ADDENDUM TO DGS 1300-015 PIPES AND PIPING COMPONENTS ,IFT,,
171,00,PIPING,Specification,5312-ADD-1300-060,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION - PIPING FLEXIBILITY ANALYSIS,IFT,,
172,00,PIPING,Specification,5312-ADD-1300-070,0,ADDENDUM TO DGS-1300-070 PIPE SUPPORTS ,IFT,,
173,00,PIPING,Specification,5312-ADD-1300-090,0,ADDENDUM TO DESIGN GENERAL SPECIFICATION STEAM JACKETED PIPING,IFT,,
174,00,PIPING,Lists & Schedules,5312-ADD-1300-100,0,ADDENDUM TO DGS-1300-100 PIPING TIE-INS,IFT,,
175,00,PIPING,Specification,5312-ADD-1470-009,1,ADDENDUM TO DGS-1470-009 REQUIREMENTS FOR FIBER REINFORCED PLASTIC (FRP) PIPES AND FITTINGS,IFT,,
176,00,PIPING,Specification,5312-ADD-6500-010,0,ADDENDUM TO DGS-6500-010 HOT INSULATION FOR PIPING AND EQUIPMENT,IFT,,
177,00,PIPING,Specification,5312-ADD-SP-09-003,0,ADDENDUM TO AGES-SP-09-003 SPECIFICATION OF MANUAL PIPING AND PIPELINE VALVES  ,IFT,,
178,00,PIPING,Calculation,CA-5312-00-PI-001,1,PIPE WALL THICKNESS CALCULATION,IFT,,
179,00,PIPING,Design Basis,DB-5312-00-PI-001,0,PIPING DESIGN BASIS,IFT,,
180,00,PIPING,Lists & Schedules,DI-5312-00-PI-001,0,PIPE STRESS CRITICAL LINE LIST,IFT,,
181,00,PIPING,Lists & Schedules,DI-5312-00-PI-002,0,PIPING TIE-IN SCHEDULE,IFT,,
